IT_NO INTEREST_RATE INFLATION_RATE REVENUES TOTAL_COSTS NET_EARNINGS TOTAL_ASSETS LIQUIDITY LOANS_BANKS LOANS_GOVERNMENT EQUITY FIAT_MONEY LIQUIDITY_BANKS LIQUIDITY_GOVERNMENT LIQUIDITY_EQUITYFUND
2100 0.009363 0.029783 943.373289 0.000000 943.373289 399265.417428 0.000000 399265.417428 0.000000 0.000000 382734.880250 0.000000 16530.537178 0.000000
2160 0.034363 0.047778 3429.943488 0.000000 3429.943488 400954.758294 0.000000 400954.758294 0.000000 0.000000 381902.255724 0.000000 19052.502571 0.000000
2220 0.059363 0.070918 5950.423238 0.000000 5950.423238 406424.191830 0.000000 406424.191830 0.000000 0.000000 382982.550136 0.000000 23441.641694 0.000000
2280 0.084363 0.088494 8571.744304 0.000000 8571.744304 414853.609343 0.000000 414853.609343 0.000000 0.000000 387380.230081 0.000000 27473.379262 0.000000
2340 0.061692 0.089670 6398.269853 0.000000 6398.269853 419308.892868 0.000000 419308.892868 0.000000 0.000000 391600.063046 0.000000 27708.829822 0.000000
2400 0.036692 0.067974 3846.302924 0.000000 3846.302924 419057.722899 0.000000 419057.722899 0.000000 0.000000 390168.017379 0.000000 28889.705520 0.000000
2460 0.020731 0.049862 2171.856757 0.000000 2171.856757 417147.843107 0.000000 417147.843107 0.000000 0.000000 388485.137726 0.000000 28662.705381 0.000000
2520 0.034014 0.041842 3547.185187 0.000000 3547.185187 414367.018764 0.000000 414367.018764 0.000000 -0.000000 381652.688929 0.000000 32714.329834 0.000000
2580 0.059014 0.055679 6113.332524 0.000000 6113.332524 420645.389537 0.000000 420645.389537 0.000000 0.000000 384080.978210 0.000000 36564.411327 0.000000
2640 0.082961 0.077182 8724.285867 0.000000 8724.285867 428672.176442 0.000000 428672.176442 0.000000 0.000000 387014.410951 0.000000 41657.765491 0.000000
2700 0.096556 0.083537 10347.740969 0.000000 10347.740969 436387.964440 0.000000 436387.964440 0.000000 0.000000 390448.162553 0.000000 45939.801886 0.000000
2760 0.071556 0.078726 7806.568017 0.000000 7806.568017 442127.013340 0.000000 442127.013340 0.000000 0.000000 395314.415605 0.000000 46812.597736 0.000000
2820 0.046556 0.057600 5145.940341 0.000000 5145.940341 440234.108761 0.000000 440234.108761 0.000000 0.000000 391395.264182 0.000000 48838.844578 0.000000
2880 0.035264 0.046009 3881.111256 0.000000 3881.111256 439237.812934 0.000000 439237.812934 0.000000 0.000000 389861.028403 0.000000 49376.784530 0.000000
2940 0.052485 0.042282 5763.351534 0.000000 5763.351534 437593.222487 0.000000 437593.222487 0.000000 0.000000 386614.511422 0.000000 50978.711065 0.000000
3000 0.077485 0.058888 8476.730083 0.000000 8476.730083 441208.517701 0.000000 441208.517701 0.000000 0.000000 388098.087560 0.000000 53110.430141 0.000000
3060 0.102485 0.079541 11304.316126 0.000000 11304.316126 449047.549253 0.000000 449047.549253 0.000000 0.000000 391364.681163 0.000000 57682.868089 0.000000
3120 0.103692 0.081212 11640.695481 0.000000 11640.695481 456944.768001 0.000000 456944.768001 0.000000 0.000000 395965.883114 0.000000 60978.884887 0.000000
3180 0.078692 0.069990 8989.510913 0.000000 8989.510913 460179.517344 0.000000 460179.517344 0.000000 0.000000 397459.329150 0.000000 62720.188194 0.000000
3240 0.071529 0.054353 8229.071994 0.000000 8229.071994 458706.299168 0.000000 458706.299168 0.000000 0.000000 394880.958563 0.000000 63825.340606 0.000000
3300 0.061758 0.047839 7082.205353 0.000000 7082.205353 458964.254890 0.000000 458964.254890 0.000000 0.000000 395055.843286 0.000000 63908.411604 0.000000
3360 0.070196 0.053464 8054.417291 0.000000 8054.417291 457272.708216 0.000000 457272.708216 0.000000 0.000000 393628.779380 0.000000 63643.928836 0.000000
3420 0.093131 0.068754 10646.586516 0.000000 10646.586516 458431.463107 0.000000 458431.463107 0.000000 0.000000 389695.822210 0.000000 68735.640897 0.000000
3480 0.107502 0.078334 12320.530680 0.000000 12320.530680 467466.679329 0.000000 467466.679329 0.000000 0.000000 395023.895479 0.000000 72442.783851 0.000000
3540 0.082502 0.074792 9641.689019 0.000000 9641.689019 472984.148070 0.000000 472984.148070 0.000000 0.000000 399903.133431 0.000000 73081.014640 0.000000
3600 0.084872 0.063248 10035.723794 0.000000 10035.723794 470330.168653 0.000000 470330.168653 0.000000 0.000000 395354.455747 0.000000 74975.712906 0.000000
