IT_NO ID LIQUIDITY WEEKLY_CONSUMPTION_BUDGET money_to_spend money_spent quantity_bought
5 1241 17.061985 1.268009 1.268009 0.000000 0
5 1281 17.061985 1.268009 1.268009 0.000000 0
5 1297 17.061985 1.268009 1.268009 0.000000 0
5 1300 17.061985 1.268009 1.268009 0.000000 0
5 1310 17.061985 1.268009 1.268009 0.000000 0
5 1317 17.061985 1.268009 1.268009 0.000000 0
5 1318 17.061985 0.893009 0.893009 0.000000 0
5 1321 17.061985 1.268009 1.268009 0.000000 0
5 1329 17.061985 1.268009 1.268009 0.000000 0
5 1347 17.061985 1.268009 1.268009 0.000000 0
5 1350 17.061985 1.268009 1.268009 0.000000 0
5 1351 17.061985 1.268009 1.268009 0.000000 0
5 1352 17.061985 1.268009 1.268009 0.000000 0
5 1353 17.061985 1.268009 1.268009 0.000000 0
5 1354 17.061985 1.268009 1.268009 0.000000 0
5 1362 17.061985 0.893009 0.893009 0.000000 0
5 1363 17.061985 1.268009 1.268009 0.000000 0
5 1366 17.061985 0.893009 0.893009 0.000000 0
5 1368 17.061985 1.268009 1.268009 0.000000 0
5 1371 17.061985 0.893009 0.893009 0.000000 0
5 1372 17.061985 1.268009 1.268009 0.000000 0
5 1375 17.061985 1.268009 1.268009 0.000000 0
5 1376 17.061985 1.268009 1.268009 0.000000 0
5 1380 17.061985 1.268009 1.268009 0.000000 0
5 1384 17.061985 0.893009 0.893009 0.000000 0
5 1385 17.061985 1.268009 1.268009 0.000000 0
5 1386 17.061985 1.268009 1.268009 0.000000 0
5 1388 17.061985 1.268009 1.268009 0.000000 0
5 1392 17.061985 0.893009 0.893009 0.000000 0
5 1398 17.061985 1.268009 1.268009 0.000000 0
5 1399 17.061985 1.268009 1.268009 0.000000 0
5 1403 17.061985 1.268009 1.268009 0.000000 0
5 1405 17.061985 0.893009 0.893009 0.000000 0
5 1406 17.061985 1.268009 1.268009 0.000000 0
5 1407 17.061985 0.518009 0.518009 0.000000 0
5 1408 17.061985 1.268009 1.268009 0.000000 0
5 1409 17.061985 1.268009 1.268009 0.000000 0
5 1410 17.061985 1.268009 1.268009 0.000000 0
5 1411 17.061985 0.518009 0.518009 0.000000 0
5 1417 17.061985 1.268009 1.268009 0.000000 0
5 1418 17.061985 1.268009 1.268009 0.000000 0
5 1419 17.061985 1.268009 1.268009 0.000000 0
5 1421 17.061985 0.893009 0.893009 0.000000 0
5 1422 17.061985 1.268009 1.268009 0.000000 0
5 1423 17.061985 0.893009 0.893009 0.000000 0
5 1424 17.061985 0.518009 0.518009 0.000000 0
5 1425 17.061985 1.268009 1.268009 0.000000 0
5 1426 17.061985 1.268009 1.268009 0.000000 0
5 1427 17.061985 1.268009 1.268009 0.000000 0
5 1428 17.061985 1.268009 1.268009 0.000000 0
5 1429 17.061985 0.893009 0.893009 0.000000 0
5 1431 17.061985 0.893009 0.893009 0.000000 0
5 1433 17.061985 1.268009 1.268009 0.000000 0
5 1435 17.061985 1.268009 1.268009 0.000000 0
5 1436 17.061985 0.893009 0.893009 0.000000 0
5 1437 17.061985 1.268009 1.268009 0.000000 0
5 1438 17.061985 1.268009 1.268009 0.000000 0
5 1439 17.061985 1.268009 1.268009 0.000000 0
5 1441 17.061985 1.268009 1.268009 0.000000 0
5 1442 17.061985 0.893009 0.893009 0.000000 0
5 1443 17.061985 1.268009 1.268009 0.000000 0
5 1444 17.061985 0.893009 0.893009 0.000000 0
5 1445 17.061985 1.268009 1.268009 0.000000 0
5 1446 17.061985 1.268009 1.268009 0.000000 0
5 1448 17.061985 1.268009 1.268009 0.000000 0
5 1449 17.061985 1.268009 1.268009 0.000000 0
5 1451 17.061985 1.268009 1.268009 0.000000 0
5 1452 17.061985 0.893009 0.893009 0.000000 0
5 1453 17.061985 0.893009 0.893009 0.000000 0
5 1455 17.061985 1.268009 1.268009 0.000000 0
5 1456 17.061985 1.268009 1.268009 0.000000 0
5 1457 17.061985 1.268009 1.268009 0.000000 0
5 1461 17.061985 0.893009 0.893009 0.000000 0
5 1462 17.061985 1.268009 1.268009 0.000000 0
5 1464 17.061985 1.268009 1.268009 0.000000 0
5 1465 17.061985 1.268009 1.268009 0.000000 0
5 1468 17.061985 1.268009 1.268009 0.000000 0
5 1470 17.061985 1.268009 1.268009 0.000000 0
5 1472 17.061985 1.268009 1.268009 0.000000 0
5 1473 17.061985 1.268009 1.268009 0.000000 0
5 1476 17.061985 1.268009 1.268009 0.000000 0
5 1478 17.061985 1.268009 1.268009 0.000000 0
5 1479 17.061985 1.268009 1.268009 0.000000 0
5 1480 17.061985 1.268009 1.268009 0.000000 0
5 1481 17.061985 1.268009 1.268009 0.000000 0
5 1483 17.061985 0.893009 0.893009 0.000000 0
5 1484 17.061985 1.268009 1.268009 0.000000 0
5 1485 17.061985 1.268009 1.268009 0.000000 0
5 1486 17.061985 0.893009 0.893009 0.000000 0
5 1487 17.061985 0.893009 0.893009 0.000000 0
5 1488 17.061985 1.268009 1.268009 0.000000 0
5 1489 17.061985 1.268009 1.268009 0.000000 0
5 1494 17.061985 1.268009 1.268009 0.000000 0
5 1496 17.061985 1.268009 1.268009 0.000000 0
5 1497 17.061985 1.268009 1.268009 0.000000 0
5 1498 17.061985 1.268009 1.268009 0.000000 0
5 1499 17.061985 1.268009 1.268009 0.000000 0
5 1500 17.061985 0.893009 0.893009 0.000000 0
5 1501 17.061985 1.268009 1.268009 0.000000 0
5 1502 17.061985 0.893009 0.893009 0.000000 0
5 1503 17.061985 1.268009 1.268009 0.000000 0
5 1507 17.061985 0.893009 0.893009 0.000000 0
5 1508 17.061985 1.268009 1.268009 0.000000 0
5 1509 17.061985 1.268009 1.268009 0.000000 0
5 1510 17.061985 1.268009 1.268009 0.000000 0
5 1513 17.061985 1.268009 1.268009 0.000000 0
5 1514 17.061985 1.268009 1.268009 0.000000 0
5 1515 17.061985 1.268009 1.268009 0.000000 0
5 1518 17.061985 1.268009 1.268009 0.000000 0
5 1520 17.061985 0.893009 0.893009 0.000000 0
5 1521 17.061985 1.268009 1.268009 0.000000 0
5 1522 17.061985 0.893009 0.893009 0.000000 0
5 1523 17.061985 0.893009 0.893009 0.000000 0
5 1524 17.061985 1.268009 1.268009 0.000000 0
5 1525 17.061985 0.893009 0.893009 0.000000 0
5 1526 17.061985 1.268009 1.268009 0.000000 0
5 1527 17.061985 0.893009 0.893009 0.000000 0
5 1533 17.061985 1.268009 1.268009 0.000000 0
5 1534 17.061985 1.268009 1.268009 0.000000 0
5 1535 17.061985 0.893009 0.893009 0.000000 0
5 1536 17.061985 1.268009 1.268009 0.000000 0
5 1537 17.061985 0.893009 0.893009 0.000000 0
5 1538 17.061985 1.268009 1.268009 0.000000 0
5 1539 17.061985 0.893009 0.893009 0.000000 0
5 1540 17.061985 0.518009 0.518009 0.000000 0
5 1541 17.061985 0.893009 0.893009 0.000000 0
5 1542 17.061985 1.268009 1.268009 0.000000 0
5 1543 17.061985 1.268009 1.268009 0.000000 0
5 1544 17.061985 0.893009 0.893009 0.000000 0
5 1545 17.061985 0.893009 0.893009 0.000000 0
5 1546 17.061985 1.268009 1.268009 0.000000 0
5 1547 17.061985 1.268009 1.268009 0.000000 0
5 1550 17.061985 1.268009 1.268009 0.000000 0
5 1551 17.061985 0.893009 0.893009 0.000000 0
5 1552 17.061985 0.893009 0.893009 0.000000 0
5 1554 17.061985 1.268009 1.268009 0.000000 0
5 1555 17.061985 1.268009 1.268009 0.000000 0
5 1557 17.061985 0.893009 0.893009 0.000000 0
5 1558 17.061985 1.268009 1.268009 0.000000 0
5 1560 17.061985 1.268009 1.268009 0.000000 0
5 1561 17.061985 1.268009 1.268009 0.000000 0
5 1565 17.061985 1.268009 1.268009 0.000000 0
5 1568 17.061985 1.268009 1.268009 0.000000 0
5 1569 17.061985 1.268009 1.268009 0.000000 0
5 1570 17.061985 1.268009 1.268009 0.000000 0
5 1571 17.061985 1.268009 1.268009 0.000000 0
5 1572 17.061985 1.268009 1.268009 0.000000 0
5 1573 17.061985 1.268009 1.268009 0.000000 0
5 1574 17.061985 1.268009 1.268009 0.000000 0
5 1575 17.061985 1.268009 1.268009 0.000000 0
5 1576 17.061985 1.268009 1.268009 0.000000 0
5 1577 17.061985 1.268009 1.268009 0.000000 0
5 1578 17.061985 0.893009 0.893009 0.000000 0
5 1579 17.061985 1.268009 1.268009 0.000000 0
5 1581 17.061985 1.268009 1.268009 0.000000 0
5 1582 17.061985 1.268009 1.268009 0.000000 0
5 1583 17.061985 1.268009 1.268009 0.000000 0
5 1587 17.061985 1.268009 1.268009 0.000000 0
5 1591 17.061985 0.893009 0.893009 0.000000 0
5 1592 17.061985 0.893009 0.893009 0.000000 0
5 1596 17.061985 0.893009 0.893009 0.000000 0
5 1597 17.061985 1.268009 1.268009 0.000000 0
5 1599 17.061985 1.268009 1.268009 0.000000 0
5 1600 17.061985 0.893009 0.893009 0.000000 0
5 1601 17.061985 0.893009 0.893009 0.000000 0
5 1602 17.061985 1.268009 1.268009 0.000000 0
5 1603 17.061985 0.518009 0.518009 0.000000 0
5 1604 17.061985 1.268009 1.268009 0.000000 0
5 1607 17.061985 1.268009 1.268009 0.000000 0
5 1609 17.061985 0.518009 0.518009 0.000000 0
5 1611 17.061985 1.268009 1.268009 0.000000 0
5 1615 17.061985 1.268009 1.268009 0.000000 0
5 1616 17.061985 0.518009 0.518009 0.000000 0
5 1619 17.061985 0.893009 0.893009 0.000000 0
5 1621 17.061985 1.268009 1.268009 0.000000 0
5 1622 17.061985 1.268009 1.268009 0.000000 0
5 1624 17.061985 1.268009 1.268009 0.000000 0
5 1626 17.061985 0.893009 0.893009 0.000000 0
5 1627 17.061985 0.893009 0.893009 0.000000 0
5 1629 17.061985 1.268009 1.268009 0.000000 0
5 1630 17.061985 1.268009 1.268009 0.000000 0
5 1631 17.061985 0.518009 0.518009 0.000000 0
5 1633 17.061985 1.268009 1.268009 0.000000 0
5 1404 17.061985 0.893009 0.893009 0.000000 0
5 1402 17.061985 1.268009 1.268009 0.000000 0
5 1401 17.061985 1.268009 1.268009 0.000000 0
5 1397 17.061985 1.268009 1.268009 0.000000 0
5 1395 17.061985 1.268009 1.268009 0.000000 0
5 1394 17.061985 1.268009 1.268009 0.000000 0
5 1387 17.061985 1.268009 1.268009 0.000000 0
5 1383 17.061985 1.268009 1.268009 0.000000 0
5 1379 17.061985 0.893009 0.893009 0.000000 0
5 1374 17.061985 1.268009 1.268009 0.000000 0
5 1370 17.061985 1.268009 1.268009 0.000000 0
5 1367 17.061985 1.268009 1.268009 0.000000 0
5 1365 17.061985 1.268009 1.268009 0.000000 0
5 1364 17.061985 0.893009 0.893009 0.000000 0
5 1356 17.061985 1.268009 1.268009 0.000000 0
5 1355 17.061985 0.893009 0.893009 0.000000 0
5 1348 17.061985 1.268009 1.268009 0.000000 0
5 1346 17.061985 1.268009 1.268009 0.000000 0
