IT_NO ID LOANS MORTGAGES DEPOSITS EQUITY INTERESTS_PAID
900 1637 23401.685972 199384.532048 8167.933530 26182.279229 232.235248
900 1638 26864.587036 194610.779735 11085.443493 27374.141729 237.982607
960 1638 27469.948353 196045.425162 10196.235768 27371.015492 235.591041
960 1637 23522.369901 198057.586011 8097.292836 26181.827772 231.491738
1020 1637 23655.527835 195318.238415 9156.697450 26170.921417 237.207710
1020 1638 26757.248002 197612.433623 10438.280579 26170.595620 230.431300
1080 1638 27168.375447 197577.515763 10763.747265 27278.619652 234.092818
1080 1637 23655.527835 195095.377346 7819.935759 26160.223762 235.788183
1140 1637 23655.527835 198216.385427 7234.176637 26173.077499 231.206190
1140 1638 27492.413849 194674.560345 10009.182591 27265.822684 234.993623
1200 1638 27549.416781 194368.976959 10016.987624 26492.352502 235.057051
1200 1637 23688.042602 196235.456920 7738.200162 26174.125640 232.598566
1260 1637 23991.528849 196502.349070 7882.960827 26174.049591 237.232025
1260 1638 28241.302349 194171.795080 9378.866221 27256.669227 232.776611
1320 1638 27418.748424 194153.525147 7889.406745 26261.552700 232.456129
1320 1637 23991.528849 195833.638836 6851.851632 26172.154818 234.166478
1380 1637 24115.153390 195940.677133 8036.576220 26168.703451 234.698501
1380 1638 27927.671730 194374.145069 8671.366268 27254.935454 233.872161
1440 1638 28302.408071 195856.054474 9551.076799 27265.846914 234.682955
1440 1637 24140.999788 194259.972852 8332.592889 26164.680364 235.151499
1500 1637 24140.999788 192093.507861 6375.989520 26151.312279 233.958922
1500 1638 29080.508817 196698.236105 8152.709549 27273.915294 234.617435
1560 1638 29287.626701 195099.228176 9461.402972 27269.314423 235.838604
1560 1637 24147.930012 194172.252307 6485.663900 26157.854630 231.520329
1620 1637 24198.850398 194270.487050 7407.046781 26158.034042 231.258002
1620 1638 29365.215030 195668.308748 9260.550952 27273.713334 239.611916
1680 1638 27233.258594 195921.768384 8999.887543 24179.355799 236.236186
1680 1637 24198.850398 193652.325480 7576.754767 26158.796157 233.728002
1740 1637 24198.850398 194935.020729 7511.875167 26161.244374 232.762717
1740 1638 27932.436500 194596.682305 9897.239112 25267.357300 237.295588
1800 1638 28502.661043 198272.923172 8913.952651 25280.365030 237.766349
1800 1637 24305.590957 192084.789241 8018.117288 26153.901084 231.777881
1860 1637 24305.590957 190572.808921 8944.616005 26139.344805 233.462349
1860 1638 27778.886310 199626.817473 9351.390255 24233.863384 235.862274
1920 1638 28530.304958 198361.619086 9054.641902 25291.231576 242.399464
1920 1637 24305.590957 191664.098661 8006.743873 26144.640523 229.400183
1980 1637 24339.183918 192157.643076 9767.512796 26148.148282 226.352084
1980 1638 29239.994064 199957.506259 10891.634821 25292.428681 242.640317
2040 1638 27255.196713 200969.871215 10387.313202 22749.596764 242.369027
2040 1637 23425.513368 191598.496120 10548.628308 25082.655251 228.888536
2100 1637 23736.420133 192143.060781 10480.536914 26145.730965 227.346497
2100 1638 27755.057117 200530.864113 10284.812034 23863.298638 242.954757
2160 1638 27694.676939 201163.132746 10690.939616 22851.588389 244.163891
2160 1637 23744.738620 191410.836879 10393.794634 26143.083135 224.529081
2220 1637 24302.869594 191605.188753 11425.247742 26142.543866 225.683534
2220 1638 27094.345277 204091.629597 13124.628928 22623.742805 244.368084
2280 1638 27340.696475 205119.503604 12168.633260 23770.236547 244.575285
2280 1637 24302.869594 193245.041522 12675.706660 26148.694977 224.887080
2340 1637 23452.173765 193163.088422 14143.132566 25127.028564 224.538367
2340 1638 27231.769064 205583.104203 12674.149404 22874.681288 244.602723
2400 1638 27457.157469 205160.207131 11734.683242 23766.997661 247.390499
2400 1637 23723.058455 192330.640166 12060.705264 26148.289634 225.025110
2460 1637 23801.464148 195425.965228 12747.183426 26154.057052 222.025016
