IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
381 2 5.358359 25 20 1 4 1 14 117.722578
401 3 5.422661 28 25 2 2 1 17 118.431134
401 6 5.422661 22 25 4 2 2 17 118.431134
401 4 5.390193 22 12 1 4 2 8 118.431134
401 5 5.411863 23 15 1 1 0 10 118.431134
401 1 5.411863 20 18 0 3 1 12 118.431134
401 2 5.358359 20 19 3 2 1 13 118.431134
421 2 5.358359 19 15 2 1 1 10 119.211140
421 6 5.422661 25 23 0 2 0 16 119.211140
421 3 5.422661 25 19 1 3 2 13 119.211140
421 4 5.390193 12 19 3 1 0 13 119.211140
421 1 5.411863 18 28 0 4 1 19 119.211140
441 5 5.411863 1 19 0 0 0 13 119.918870
441 6 5.422661 23 12 1 3 2 8 119.918870
441 2 5.358359 15 23 0 2 1 16 119.918870
441 4 5.489356 19 19 1 1 1 13 119.918870
441 1 5.489356 28 26 1 5 2 18 119.918870
441 3 5.422661 19 28 1 4 2 19 119.918870
461 5 5.511593 19 16 0 1 1 11 120.891419
461 3 5.511593 28 22 3 3 2 15 120.891419
461 2 5.511593 23 28 2 1 1 19 120.891419
461 4 5.489356 19 13 1 2 2 9 120.891419
461 6 5.422661 12 25 2 2 1 17 120.891419
461 1 5.489356 26 13 3 3 1 9 120.891419
481 3 5.511593 22 26 2 2 1 18 121.839869
481 6 5.530381 25 20 1 2 1 14 121.839869
481 4 5.489356 13 12 1 2 1 8 121.839869
481 5 5.511593 16 29 1 2 2 20 121.839869
481 2 5.511593 28 29 0 2 1 20 121.839869
501 1 5.489356 1 25 0 0 0 17 122.595051
501 4 5.489356 12 19 0 3 1 13 122.595051
501 2 5.570007 29 29 1 2 1 20 122.595051
501 5 5.570007 29 15 2 1 1 10 122.595051
501 3 5.570007 26 19 1 2 1 13 122.595051
501 6 5.530381 20 13 0 3 1 9 122.595051
521 2 5.570007 29 29 2 2 2 20 123.339292
521 1 5.604757 25 16 0 1 1 11 123.339292
521 4 5.604757 19 29 2 1 0 20 123.339292
521 5 5.570007 15 26 1 1 1 18 123.339292
521 3 5.570007 19 19 1 2 1 13 123.339292
521 6 5.530381 13 15 2 2 1 10 123.339292
541 3 5.570007 19 29 1 2 1 20 124.338897
541 2 5.570007 29 16 1 3 2 11 124.338897
541 5 5.643666 26 18 1 1 1 12 124.338897
541 6 5.643666 15 15 1 2 1 10 124.338897
541 4 5.604757 29 23 1 2 2 16 124.338897
541 1 5.604757 16 19 0 3 2 13 124.338897
561 2 5.570007 16 22 1 3 1 15 125.208306
561 6 5.643666 15 19 2 1 1 13 125.208306
561 3 5.658142 29 16 0 5 3 11 125.208306
561 1 5.604757 19 29 1 3 1 20 125.208306
561 5 5.643666 18 18 1 1 1 12 125.208306
561 4 5.604757 23 20 0 3 1 14 125.208306
581 3 5.658142 16 19 3 2 0 13 125.980781
581 5 5.643666 18 28 0 2 1 19 125.980781
581 1 5.604757 29 10 1 5 3 7 125.980781
581 6 5.643666 19 22 1 1 1 15 125.980781
581 2 5.660552 22 19 1 3 1 13 125.980781
581 4 5.604757 20 23 2 2 1 16 125.980781
601 2 5.660552 19 19 2 3 2 13 126.611447
601 1 5.604757 10 25 3 2 0 17 126.611447
601 3 5.658142 19 15 2 1 1 10 126.611447
601 6 5.643666 22 22 0 2 1 15 126.611447
601 4 5.675033 23 26 0 3 1 18 126.611447
601 5 5.643666 28 18 0 4 2 12 126.611447
621 2 5.660552 19 13 3 2 2 9 127.775978
621 4 5.675033 26 29 0 5 2 20 127.775978
621 1 5.691572 25 13 2 1 1 9 127.775978
621 6 5.643666 22 28 2 1 1 19 127.775978
621 3 5.658142 15 13 1 1 1 9 127.775978
621 5 5.643666 18 20 4 1 1 14 127.775978
641 5 5.717706 20 28 1 2 2 19 128.660142
641 6 5.717706 28 23 0 3 2 16 128.660142
641 4 5.675033 29 29 4 3 2 20 128.660142
641 2 5.660552 13 12 0 2 0 8 128.660142
641 1 5.691572 13 26 1 0 0 18 128.660142
641 3 5.658142 13 28 0 1 0 19 128.660142
661 5 5.717706 28 20 1 2 1 14 129.722502
661 1 5.757078 26 29 0 1 1 20 129.722502
661 6 5.717706 23 20 2 2 1 14 129.722502
681 4 5.675033 1 15 0 0 0 10 130.566302
681 2 5.660552 1 12 0 0 0 8 130.566302
681 3 5.757078 1 15 0 0 0 10 130.566302
681 1 5.757078 29 18 1 2 2 12 130.566302
681 5 5.717706 20 12 2 1 1 8 130.566302
681 6 5.717706 20 12 0 4 2 8 130.566302
701 6 5.717706 12 18 2 2 0 12 131.342586
701 1 5.757078 18 13 1 3 2 9 131.342586
701 4 5.829676 15 15 0 1 1 10 131.342586
701 2 5.829676 12 26 0 0 0 18 131.342586
701 3 5.829676 15 13 0 1 1 9 131.342586
701 5 5.717706 12 26 0 2 1 18 131.342586
