IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
901 2 750.689369 369.167985 359.058669 10.109316 391.630700 381.521384
901 1 596.399400 209.776369 199.667053 10.109316 396.732347 386.623031
901 4 1042.672207 372.670645 362.561329 10.109316 680.110878 670.001562
901 6 751.733619 353.435192 349.801906 3.633286 401.931713 398.298427
901 3 896.825121 321.666057 311.556741 10.109316 585.268380 575.159064
961 1 759.546206 399.202127 392.937444 6.264682 366.608762 360.344080
961 4 303.997161 284.158198 277.893515 6.264682 26.103645 19.838963
961 3 456.500033 303.105483 296.840801 6.264682 159.659233 153.394550
961 2 763.356865 461.827460 455.562778 6.264682 307.794087 301.529405
961 6 609.754950 294.254609 292.003083 2.251526 317.751866 315.500341
961 5 1217.436099 359.133259 352.868576 6.264682 864.567523 858.302841
1021 4 927.636745 374.437617 371.781163 2.656453 555.855581 553.199128
1021 3 776.321930 361.546116 358.889662 2.656453 417.432267 414.775814
1021 5 621.385341 219.785376 217.128923 2.656453 404.256418 401.599964
1021 6 926.373598 320.261968 319.307239 0.954729 607.066358 606.111629
1021 1 776.107673 335.914637 333.258184 2.656453 442.849489 440.193036
1021 2 1090.095266 419.307757 416.651304 2.656453 673.443962 670.787509
1081 4 1114.563408 291.711478 286.775287 4.936191 827.788122 822.851931
1081 6 791.113003 466.855820 465.081754 1.774066 326.031250 324.257184
1081 1 949.236217 279.558219 274.622028 4.936191 674.614189 669.677998
1081 5 952.354138 424.567250 419.631059 4.936191 532.723079 527.786888
1081 2 1434.290307 382.958160 378.021969 4.936191 1056.268339 1051.332148
1081 3 1428.577200 435.099121 430.162930 4.936191 998.414270 993.478079
1141 3 984.189337 527.968573 518.834465 9.134108 465.354872 456.220764
1141 5 984.561828 422.206069 413.071961 9.134108 571.489866 562.355759
1141 6 1477.606592 462.179307 458.896510 3.282797 1018.710082 1015.427286
1141 4 822.312513 370.664602 361.530494 9.134108 460.782019 451.647911
1141 2 163.955000 182.078929 172.944822 9.134108 -8.989822 -18.123929
1141 1 985.046549 494.709953 485.575846 9.134108 499.470704 490.336596
1201 3 835.616369 470.500715 465.564524 4.936191 370.051845 365.115654
1201 6 841.213240 406.071729 404.297663 1.774066 436.915577 435.141511
1201 5 838.164929 415.972148 411.035957 4.936191 427.128972 422.192781
1201 1 837.716962 255.656608 250.720417 4.936191 586.996545 582.060354
1201 4 1005.402728 422.710442 417.774251 4.936191 587.628477 582.692286
1201 2 1007.978473 486.181538 481.112151 5.069387 526.866322 521.796935
1261 5 1196.681535 460.646909 458.128159 2.518750 738.553376 736.034626
1261 4 680.451700 317.054501 314.535751 2.518750 365.915949 363.397199
1261 2 855.224220 300.740724 298.154009 2.586715 557.070211 554.483496
1261 1 344.480648 212.581802 210.063052 2.518750 134.417596 131.898846
1261 3 1541.348481 294.708306 292.189556 2.518750 1249.158925 1246.640175
1261 6 1028.525320 321.201450 320.296211 0.905238 708.229109 707.323871
1321 1 1065.206183 337.327139 332.934563 4.392575 732.271619 727.879044
1321 6 1057.185089 420.056887 418.478197 1.578691 638.706892 637.128202
1321 2 711.608680 268.332022 263.820920 4.511102 447.787761 443.276658
1321 3 536.248568 339.015210 334.622635 4.392575 201.625933 197.233358
1321 4 1057.375052 365.071686 360.679110 4.392575 696.695942 692.303366
1321 5 1231.592805 380.467929 376.075354 4.392575 855.517451 851.124875
1381 5 734.076109 392.381569 384.388604 7.992965 349.687506 341.694540
1381 6 539.006515 393.396392 390.523722 2.872670 148.482793 145.610123
1381 1 547.323569 362.223301 354.230336 7.992965 193.093233 185.100268
1381 3 731.603872 334.554123 326.561158 7.992965 405.042715 397.049749
1381 4 543.997919 340.578259 332.585294 7.992965 211.412625 203.419660
1381 2 731.558772 220.292803 212.084159 8.208644 519.474612 511.265969
1441 6 1118.373896 217.694569 213.515931 4.178638 904.857965 900.679327
1441 5 752.099317 315.331991 303.705278 11.626713 448.394039 436.767326
1441 3 1314.778285 526.031855 514.405142 11.626713 800.373143 788.746430
1441 1 746.385183 327.538880 315.912167 11.626713 430.473016 418.846303
1441 4 936.527226 460.413759 448.787046 11.626713 487.740180 476.113467
1441 2 565.811808 359.144703 347.204260 11.940443 218.607547 206.667104
1501 6 379.552669 479.825056 476.504791 3.320266 -96.952121 -100.272387
1501 2 382.249027 273.229714 263.742068 9.487646 118.506959 109.019313
1501 5 378.828900 462.556544 453.318181 9.238362 -74.489281 -83.727644
1501 1 572.438422 573.606071 564.367709 9.238362 8.070713 -1.167650
1501 3 759.954005 353.821014 344.582652 9.238362 415.371353 406.132991
1501 4 570.031337 485.995324 476.756962 9.238362 93.274375 84.036013
1561 2 770.375917 484.662895 479.486441 5.176455 290.889476 285.713022
1561 1 1348.112107 447.652076 442.602868 5.049208 905.509239 900.460030
1561 6 1159.248573 545.046395 542.482377 2.564018 616.766196 614.202178
1561 5 966.199829 457.541539 451.872769 5.668770 514.327061 508.658290
1561 4 1349.303788 301.141672 296.101226 5.040446 1053.202562 1048.162116
1561 3 578.847774 351.746026 346.705580 5.040446 232.142194 227.101748
1621 2 1778.768374 493.214666 488.084603 5.130063 1290.683771 1285.553708
1621 6 1968.410482 558.206587 555.665548 2.541039 1412.744934 1410.203895
1621 3 1375.796517 495.686091 490.690818 4.995273 885.105699 880.110426
1621 1 1971.768307 556.067443 551.063486 5.003957 1420.704821 1415.700864
1621 5 1570.753970 239.159802 233.541836 5.617966 1337.212134 1331.594168
1621 4 1382.051291 427.302335 422.307062 4.995273 959.744229 954.748957
1681 6 1623.873838 470.941713 467.296264 3.645449 1156.577574 1152.932126
1681 5 1027.107928 446.462597 438.402898 8.059698 588.705030 580.645331
1681 1 1419.807386 520.203236 513.024414 7.178822 906.782972 899.604150
1681 2 814.923553 321.237543 313.877805 7.359738 501.045748 493.686010
1681 4 1225.618914 566.389762 559.223398 7.166364 666.395516 659.229152
1681 3 1228.950558 499.460601 492.294237 7.166364 736.656322 729.489958
1741 2 1048.615658 409.983822 398.312893 11.670929 650.302765 638.631836
