IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS DEBT EQUITY
541 3 0 0 0 0.000000 0 0 862.426188 -0.000000 1 128.826188 0.560000 1310 671.666667 190.759521
541 4 0 0 0 0.000000 0 0 733.600000 -0.000000 0 128.826188 0.560000 1310 671.666667 61.933333
541 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 128.826188 0.560000 1310 671.666667 61.933333
541 2 0 0 0 0.000000 0 0 862.426188 -0.000000 1 128.826188 0.560000 1310 671.666667 190.759521
601 6 1 1 0 0.000000 0 0 998.551568 -0.000000 2 132.475784 0.560000 1310 801.974366 196.577202
601 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 132.475784 0.560000 1310 671.666667 61.933333
601 2 0 0 0 0.000000 0 0 866.075784 -0.000000 1 132.475784 0.560000 1310 671.666667 194.409117
601 5 0 0 0 0.000000 0 0 998.551568 0.000000 2 132.475784 0.560000 1310 671.666667 326.884901
601 3 0 0 0 0.000000 0 0 998.551568 -0.000000 2 132.475784 0.560000 1310 671.666667 326.884901
601 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 132.475784 0.560000 1310 671.666667 61.933333
661 3 0 0 0 0.000000 0 0 733.600000 -0.000000 0 136.189093 0.560000 1310 671.666667 61.933333
661 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 136.189093 0.560000 1310 671.666667 61.933333
661 6 0 0 0 0.000000 0 0 869.789093 0.000000 1 136.189093 0.560000 1310 801.974366 67.814727
661 5 0 0 0 0.000000 0 0 869.789093 0.000000 1 136.189093 0.560000 1310 671.666667 198.122426
661 1 0 0 0 0.000000 0 0 1005.978185 -0.000000 2 136.189093 0.560000 1310 671.666667 334.311519
661 2 0 0 0 0.000000 0 0 733.600000 -0.000000 0 136.189093 0.560000 1310 671.666667 61.933333
721 2 0 0 0 0.000000 0 0 873.765055 -0.000000 1 140.165055 0.560000 1310 671.666667 202.098389
721 4 0 0 0 0.000000 0 0 873.765055 0.000000 1 140.165055 0.560000 1310 671.666667 202.098389
721 3 0 0 0 0.000000 0 0 873.765055 -0.000000 1 140.165055 0.560000 1310 671.666667 202.098389
721 6 0 0 0 0.000000 0 0 873.765055 0.000000 1 140.165055 0.560000 1310 801.974366 71.790690
721 5 0 0 0 0.000000 0 0 733.600000 0.000000 0 140.165055 0.560000 1310 671.666667 61.933333
721 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 140.165055 0.560000 1310 671.666667 61.933333
781 4 0 0 0 0.000000 0 0 733.600000 0.000000 0 144.042794 0.560000 1310 671.666667 61.933333
781 2 0 0 0 0.000000 0 0 733.600000 -0.000000 0 144.042794 0.560000 1310 671.666667 61.933333
781 1 0 0 0 0.000000 0 0 733.600000 -0.000000 0 144.042794 0.560000 1310 671.666667 61.933333
