IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
1621 1638 1370.144035 1370.144035 247.815054 0.000000 247.815054 1122.328981 0.000000 1119.614280
1681 1638 1370.896642 1370.896642 249.021925 0.000000 249.021925 1121.874717 0.000000 1122.328981
1681 1637 1283.400721 1283.400721 227.087962 0.000000 227.087962 1056.312759 0.000000 1049.676367
1741 1637 1290.719219 1290.719219 229.043352 0.000000 229.043352 1061.675867 0.000000 1056.312759
1741 1638 1369.265474 1369.265474 247.286425 0.000000 247.286425 1121.979049 0.000000 1121.874717
1801 1638 1369.223976 1369.223976 248.993167 0.000000 248.993167 1120.230809 0.000000 1121.979049
1801 1637 1291.601662 1291.601662 231.056285 0.000000 231.056285 1060.545377 0.000000 1061.675867
1861 1637 1288.970122 1288.970122 230.935820 0.000000 230.935820 1058.034302 0.000000 1060.545377
1861 1638 1368.670204 1368.670204 247.565629 0.000000 247.565629 1121.104575 0.000000 1120.230809
1921 1638 1366.049196 1366.049196 248.493965 0.000000 248.493965 1117.555231 0.000000 1121.104575
1921 1637 1293.939839 1293.939839 230.527089 0.000000 230.527089 1063.412750 0.000000 1058.034302
1981 1637 1291.276864 1291.276864 232.118684 0.000000 232.118684 1059.158180 0.000000 1063.412750
1981 1638 1367.319217 1367.319217 247.983618 0.000000 247.983618 1119.335598 0.000000 1117.555231
2041 1638 1372.890974 1372.890974 248.808777 0.000000 248.808777 1124.082197 0.000000 1119.335598
2041 1637 1300.065550 1300.065550 231.027676 0.000000 231.027676 1069.037874 0.000000 1059.158180
2101 1637 1301.092705 1301.092705 231.736590 0.000000 231.736590 1069.356115 0.000000 1069.037874
2101 1638 1391.603705 1391.603705 249.182929 0.000000 249.182929 1142.420775 0.000000 1124.082197
2161 1638 1398.015058 1398.015058 4793.894725 4541.830179 252.064546 -3395.879668 0.000000 1142.420775
2161 1637 1293.034567 1293.034567 231.860999 0.000000 231.860999 1061.173568 0.000000 1069.356115
2221 1637 1282.650263 1282.650263 2303.899879 2074.022374 229.877505 -1021.249617 0.000000 1061.173568
2221 1638 1389.904404 1389.904404 253.304321 0.000000 253.304321 1136.600083 0.000000 0.000000
2281 1638 1377.582380 1377.582380 1917.368046 1664.143122 253.224924 -539.785665 0.000000 1136.600083
2281 1637 1289.582917 1289.582917 227.552579 0.000000 227.552579 1062.030338 0.000000 0.000000
