IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
181 29 812.859606 820.245132 796.599830 23.645302 16.259776 -7.385526
181 21 771.970637 739.827761 718.508226 21.319534 53.462411 32.142877
181 11 851.633084 830.823520 812.217381 18.606139 39.415703 20.809564
181 13 706.869429 669.988594 656.033990 13.954604 50.835440 36.880836
181 20 772.693565 768.350163 749.744024 18.606139 22.949541 4.343402
181 25 793.428159 750.406057 734.125685 16.280372 59.302474 43.022102
181 12 822.740038 828.607794 808.838771 19.769023 13.901267 -5.867756
181 28 864.688160 831.321189 808.838771 22.482418 55.849389 33.366970
181 14 826.372101 868.132036 843.323851 24.808185 -16.951750 -41.759935
181 16 866.240809 869.294920 843.323851 25.971069 22.916958 -3.054111
181 10 836.242930 900.919189 874.560492 26.358697 -38.317563 -64.676260
181 9 827.793597 782.331647 762.174996 20.156651 65.618601 45.461950
181 27 826.424621 829.770678 808.838771 20.931906 17.585850 -3.346056
181 30 768.486358 781.944019 762.174996 19.769023 6.311362 -13.457661
181 17 789.625274 767.552311 746.620404 20.931906 43.004870 22.072963
181 26 885.371364 844.550014 824.393363 20.156651 60.978001 40.821350
241 28 747.169222 648.046722 637.738262 10.308460 109.430960 99.122500
241 17 697.595699 590.302290 580.704759 9.597531 116.890941 107.293409
241 23 733.291719 695.461052 684.402037 11.059015 48.889682 37.830667
241 14 754.839283 670.315105 658.719248 11.595857 96.120035 84.524178
241 16 740.541633 670.643459 658.719248 11.924211 81.822385 69.898174
241 25 720.337463 716.027268 708.562521 7.464747 11.774943 4.310196
241 15 787.888633 663.266630 650.469921 12.796709 137.418712 124.622003
241 30 693.620599 605.394907 596.259351 9.135557 97.361248 88.225691
241 27 763.948383 647.353502 637.738262 9.615240 126.210121 116.594881
241 29 736.567577 685.283782 674.403040 10.880742 62.164537 51.283795
241 7 730.366552 790.252501 777.729588 12.522913 -47.363036 -59.885949
241 18 776.774546 619.489428 610.069629 9.419799 166.704917 157.285118
241 12 836.391432 676.463179 667.367790 9.095389 169.023642 159.928253
241 8 799.179977 649.886390 641.355251 8.531139 157.824726 149.293587
241 20 801.851550 685.601992 677.070853 8.531139 124.780697 116.249558
241 9 786.020455 716.530987 707.288920 9.242067 78.731535 69.489468
241 26 854.499840 747.876696 738.634629 9.242067 115.865211 106.623144
241 22 754.117291 612.231400 601.212012 11.019388 152.905279 141.885891
241 21 729.260376 626.671067 616.895804 9.775264 112.364573 102.589309
241 10 745.260296 702.514896 690.086831 12.428065 55.173465 42.745400
241 24 714.868865 719.449725 710.207658 9.242067 4.661208 -4.580859
241 19 784.917085 662.728647 654.730704 7.997943 130.186381 122.188438
241 13 777.448420 688.717819 682.319464 6.398354 95.128956 88.730602
241 11 719.032194 701.347826 692.816687 8.531139 26.215507 17.684368
301 28 747.988125 585.281487 577.977112 7.304375 170.011013 162.706638
301 17 675.154520 532.225222 525.424597 6.800625 149.729923 142.929298
301 15 805.129317 612.586998 603.519498 9.067500 201.609819 192.542319
301 27 766.143395 584.790284 577.977112 6.813173 188.166284 181.353111
301 12 765.039837 628.668629 622.223813 6.444817 142.816025 136.371208
301 20 768.232800 641.126963 635.081963 6.045000 133.150837 127.105837
301 22 670.599534 539.795717 531.987592 7.808125 138.611942 130.803817
301 21 669.094047 554.712921 547.786358 6.926563 121.307689 114.381126
301 19 721.246784 595.202232 589.535044 5.667187 131.711740 126.044552
301 23 885.591519 583.500577 575.664373 7.836204 309.927147 302.090943
301 14 818.015030 565.767012 557.550413 8.216600 260.464618 252.248018
301 10 913.262128 592.757103 583.950817 8.806286 329.311311 320.505025
301 7 1180.152331 705.834084 696.736018 9.098066 483.416313 474.318247
301 8 751.834362 702.091977 696.046977 6.045000 55.787385 49.742385
301 18 706.408756 655.263916 648.589228 6.674688 57.819528 51.144840
301 24 839.104730 634.924993 628.359065 6.565928 210.745665 204.179737
301 11 840.275438 622.914455 616.869455 6.045000 223.405984 217.360984
301 26 860.622566 753.994967 747.446217 6.548750 113.176349 106.627599
301 9 826.482778 706.621615 700.072865 6.548750 126.409913 119.861163
301 30 743.531895 563.509827 557.036549 6.473279 186.495346 180.022068
301 25 812.658461 643.219512 637.930137 5.289375 174.728325 169.438950
301 16 825.363862 603.689408 595.240143 8.449265 230.123720 221.674454
301 29 838.367548 634.605044 626.895161 7.709883 211.472387 203.762504
301 13 746.042656 700.331084 695.797334 4.533750 50.245322 45.711572
361 10 714.327135 646.943739 638.137453 8.806286 76.189682 67.383396
361 9 831.888872 779.307446 772.758696 6.548750 59.130176 52.581426
361 11 764.214744 713.835530 707.790530 6.045000 56.424214 50.379214
361 18 762.282083 715.042556 708.367868 6.674688 53.914215 47.239527
361 8 814.254290 762.705989 756.660989 6.045000 57.593300 51.548300
361 20 719.629282 682.217454 676.172454 6.045000 43.456828 37.411828
361 12 703.563970 666.519564 660.074747 6.444817 43.489223 37.044407
361 17 616.628329 586.386837 579.586212 6.800625 37.042117 30.241492
361 28 669.888020 635.183708 627.879333 7.304375 42.008688 34.704313
361 26 884.522790 827.600568 821.051818 6.548750 63.470972 56.922222
361 7 937.809832 851.019917 841.921850 9.098066 95.887982 86.789915
361 23 695.644039 629.889099 622.052895 7.836204 73.591144 65.754940
361 27 669.347698 634.692506 627.879333 6.813173 41.468365 34.655192
361 15 706.964502 669.142247 660.074747 9.067500 46.889755 37.822255
361 22 617.736579 587.394337 579.586212 7.808125 38.150367 30.342242
361 21 634.335382 602.610481 595.683919 6.926563 38.651463 31.724901
361 19 667.227325 633.546520 627.879333 5.667187 39.347992 33.680804
361 30 692.356296 650.450319 643.977040 6.473279 48.379256 41.905977
361 29 781.559172 732.175458 724.465575 7.709883 57.093597 49.383714
361 25 780.999562 729.164462 723.875087 5.289375 57.124475 51.835100
361 13 815.400386 760.577952 756.044202 4.533750 59.356184 54.822434
361 16 693.793292 629.413242 620.963976 8.449265 72.829315 64.380050
361 24 729.478747 660.787938 654.222010 6.565928 75.256737 68.690808
361 14 672.600136 614.184938 605.968338 8.216600 66.631798 58.415198
421 14 726.040242 682.103692 673.887092 8.216600 52.153150 43.936550
421 24 777.993910 729.756624 723.190696 6.565928 54.803214 48.237286
421 16 744.219309 698.770892 690.321627 8.449265 53.897683 45.448417
421 13 883.297327 826.331653 821.797903 4.533750 61.499425 56.965675
421 21 707.238223 662.093753 655.167190 6.926563 52.071033 45.144470
421 11 831.190296 778.539299 772.494299 6.045000 58.695996 52.650996
421 10 762.535168 715.562447 706.756161 8.806286 55.779007 46.972721
421 9 904.129010 841.867368 835.318618 6.548750 68.810392 62.261642
421 8 885.637941 824.986215 818.941215 6.045000 66.696726 60.651726
421 15 781.341029 729.744300 720.676800 9.067500 60.664229 51.596729
421 23 743.544942 698.157831 690.321627 7.836204 53.223315 45.387111
421 25 848.282244 794.218209 788.928834 5.289375 59.353410 54.064035
421 27 742.987381 694.735168 687.921995 6.813173 55.065386 48.252213
421 29 851.595425 793.896293 786.186410 7.709883 65.409015 57.699132
421 30 760.550442 710.772676 704.299398 6.473279 56.251044 49.777765
421 22 690.270998 646.597913 638.789788 7.808125 51.481210 43.673085
421 17 689.162748 645.590413 638.789788 6.800625 50.372960 43.572335
421 20 795.953222 743.099203 737.054203 6.045000 58.899020 52.854020
421 18 832.519766 776.483695 769.809008 6.674688 62.710759 56.036071
421 12 778.456077 727.121617 720.676800 6.444817 57.779277 51.334460
421 28 743.527704 695.226370 687.921995 7.304375 55.605709 48.301334
421 26 957.939841 890.999575 884.450825 6.548750 73.489016 66.940266
421 7 995.856889 929.503176 920.405110 9.098066 75.451779 66.353713
421 19 741.726798 693.589183 687.921995 5.667187 53.804802 48.137615
481 7 1072.210226 995.563239 986.465173 9.098066 85.745054 76.646987
481 26 1029.052635 960.072342 953.523592 6.548750 75.529043 68.980293
481 28 810.932527 760.101034 752.796659 7.304375 58.135868 50.831493
481 18 901.469577 843.107568 836.432881 6.674688 65.036696 58.362009
481 20 864.285039 809.023392 802.978392 6.045000 61.306646 55.261646
481 27 810.392205 759.609832 752.796659 6.813173 57.595546 50.782373
481 23 814.447313 760.241702 752.405498 7.836204 62.041815 54.205611
481 15 849.363847 795.318648 786.251148 9.067500 63.112700 54.045200
481 9 974.314811 909.890608 903.341858 6.548750 70.972953 64.424203
481 10 833.826893 777.930332 769.124046 8.806286 64.702847 55.896561
481 11 904.039440 842.043239 835.998239 6.045000 68.041201 61.996201
481 13 957.314536 890.687633 886.153883 4.533750 71.160653 66.626903
481 24 849.674990 792.408523 785.842594 6.565928 63.832396 57.266467
481 14 796.553258 743.903550 735.686950 8.216600 60.866308 52.649708
481 16 815.121680 760.854763 752.405498 8.449265 62.716182 54.266917
481 25 921.520743 858.006162 852.716787 5.289375 68.803956 63.514581
481 8 955.514745 892.659614 886.614614 6.045000 68.900131 62.855131
481 29 920.854234 860.870009 853.160125 7.709883 67.694109 59.984225
481 30 828.264263 775.997182 769.523903 6.473279 58.740359 52.267081
481 22 756.748829 710.423051 702.614926 7.808125 54.133903 46.325778
481 17 755.640579 709.415551 702.614926 6.800625 53.025653 46.225028
481 12 846.478896 792.695964 786.251148 6.444817 60.227748 53.782931
481 19 809.131621 758.463846 752.796659 5.667187 56.334962 50.667775
481 21 774.025051 726.268733 719.342170 6.926563 54.682881 47.756318
541 13 998.626635 923.602210 918.236265 5.365945 80.390370 75.024425
541 29 972.270342 893.848005 884.722931 9.125075 87.547411 78.422337
541 8 990.086999 901.702379 894.547786 7.154593 95.539212 88.384620
541 7 1032.075243 989.634413 978.866346 10.768066 53.208897 42.440831
541 11 937.016646 855.230973 848.076380 7.154593 88.940266 81.785673
541 21 846.325990 790.975767 782.777796 8.197971 63.548195 55.350224
541 12 920.340609 858.466848 850.839050 7.627798 69.501559 61.873761
541 17 827.551324 773.811399 765.762482 8.048917 61.788842 53.739925
541 22 828.659574 775.003831 765.762482 9.241349 62.897092 53.655743
541 30 901.735782 841.485221 833.823736 7.661485 67.912046 60.250562
541 25 993.074107 928.374849 922.114581 6.260269 70.959527 64.699258
541 16 884.794104 829.665414 819.665240 10.000174 65.128864 55.128690
541 14 865.912192 812.315151 802.590350 9.724802 63.321842 53.597040
541 24 919.974394 861.586160 853.815020 7.771140 66.159374 58.388234
541 10 897.080863 847.162858 836.740130 10.422728 60.340733 49.918005
541 15 878.619177 861.570939 850.839050 10.731889 27.780127 17.048238
541 23 884.119737 828.939822 819.665240 9.274582 64.454497 55.179915
541 20 921.455312 875.008956 867.854363 7.154593 53.600948 46.446356
541 28 884.013853 825.453556 816.808423 8.645133 67.205431 58.560298
541 18 976.501871 909.784853 901.884990 7.899863 74.616880 66.717017
541 27 883.473531 824.872190 816.808423 8.063768 66.665108 58.601340
541 9 1048.457727 977.697053 969.946244 7.750809 78.511482 70.760673
541 19 882.212947 823.515853 816.808423 6.707431 65.404525 58.697094
541 26 1045.505585 988.869392 981.118583 7.750809 64.387001 56.636193
601 8 942.690675 918.488747 912.443747 6.045000 30.246928 24.201928
601 25 1053.858744 952.164961 946.875586 5.289375 106.983158 101.693783
601 24 919.918241 884.577836 878.011907 6.565928 41.906334 35.340405
601 26 1020.342961 882.650620 876.101870 6.548750 144.241091 137.692341
601 7 1100.085956 915.803173 906.705107 9.098066 193.380849 184.282783
601 11 911.411154 825.022434 818.977434 6.045000 92.433720 86.388720
601 10 920.885005 827.783720 818.977434 8.806286 101.907570 93.101284
601 23 946.360598 890.189120 882.352916 7.836204 64.007682 56.171478
601 14 938.635357 873.270115 865.053516 8.216600 73.581841 65.365241
601 16 932.929573 890.802182 882.352916 8.449265 50.576657 42.127391
601 22 901.065737 838.283100 830.474975 7.808125 70.590763 62.782638
601 18 996.600721 975.562158 968.887471 6.674688 27.713251 21.038563
601 17 877.766715 837.275600 830.474975 6.800625 47.291740 40.491115
601 21 918.871685 854.703099 847.776537 6.926563 71.095149 64.168586
601 12 994.059150 923.427601 916.982785 6.444817 77.076366 70.631549
601 30 958.171192 906.154501 899.681223 6.473279 58.489969 52.016691
601 28 935.746528 889.684036 882.379661 7.304375 53.366867 46.062492
601 19 924.847454 888.046848 882.379661 5.667187 42.467793 36.800606
601 20 956.600512 859.162438 853.117438 6.045000 103.483074 97.438074
601 15 957.385416 856.488710 847.421210 9.067500 109.964206 100.896706
601 29 925.398493 826.250916 818.541033 7.709883 106.857460 99.147576
601 13 912.753696 850.662189 846.128439 4.533750 66.625258 62.091508
601 9 975.245147 928.619483 922.070733 6.548750 53.174414 46.625664
601 27 903.562276 854.589710 847.776537 6.813173 55.785739 48.972567
661 25 1054.003927 945.219620 939.930245 5.289375 114.073682 108.784307
661 12 1062.489312 952.213138 945.768321 6.444817 116.720991 110.276174
661 18 1051.610193 825.615288 818.940600 6.674688 232.669593 225.994905
661 7 991.804581 855.619095 846.521028 9.098066 145.283553 136.185486
661 9 981.683263 787.277450 780.728700 6.548750 200.954564 194.405814
661 14 969.688201 878.825962 870.609363 8.216600 99.078838 90.862239
661 29 872.848576 765.077833 757.367950 7.709883 115.480626 107.770743
661 17 885.895352 767.576193 760.775568 6.800625 125.119784 118.319159
661 8 996.989955 826.631320 820.586320 6.045000 176.403635 170.358635
661 23 960.773796 855.157083 847.320879 7.836204 113.452917 105.616713
661 16 988.486006 873.298774 864.849509 8.449265 123.636497 115.187231
661 30 987.004737 874.934728 868.461449 6.473279 118.543288 112.070009
661 28 979.784145 869.998636 862.694261 7.304375 117.089883 109.785508
661 20 935.378657 835.007924 828.962924 6.045000 106.415733 100.370733
661 21 986.268539 917.666428 910.739865 6.926563 75.528674 68.602111
661 22 968.050584 901.033762 893.225637 7.808125 74.824947 67.016822
661 27 902.344213 776.235844 769.422671 6.813173 132.921542 126.108369
661 13 973.851827 827.638888 823.105138 4.533750 150.746689 146.212939
661 15 921.773601 778.027424 768.959924 9.067500 152.813678 143.746178
661 10 931.910858 844.358389 835.552103 8.806286 96.358755 87.552469
661 26 961.401358 847.289048 840.740298 6.548750 120.661061 114.112311
661 19 937.360531 795.395893 789.728705 5.667187 147.631826 141.964638
661 11 928.873444 829.828327 823.783327 6.045000 105.090116 99.045116
661 24 913.853660 747.524751 740.958823 6.565928 172.894837 166.328909
721 24 884.983585 825.833582 819.267654 6.565928 65.715931 59.150003
721 22 1039.340329 971.130916 963.322791 7.808125 76.017538 68.209413
721 28 1020.445538 952.789283 945.484908 7.304375 74.960629 67.656254
721 16 1023.582578 952.376267 943.927002 8.449265 79.655576 71.206311
721 23 1003.404307 933.954727 926.118523 7.836204 77.285784 69.449580
721 8 980.123994 915.854143 909.809143 6.045000 70.314850 64.269850
721 17 904.745655 843.876757 837.076132 6.800625 67.669522 60.868897
721 14 1003.822743 934.335123 926.118523 8.216600 77.704219 69.487620
721 7 924.261444 883.231444 874.133378 9.098066 50.128066 41.029999
721 25 1043.172371 986.450049 981.160674 5.289375 62.011697 56.722322
721 13 972.018053 914.342893 909.809143 4.533750 62.208910 57.675160
721 11 936.449447 878.738089 872.693089 6.045000 63.756358 57.711358
721 12 1057.467907 1005.443373 998.998556 6.444817 58.469351 52.024534
721 29 886.241936 826.977537 819.267654 7.709883 66.974281 59.264398
721 30 1019.531332 951.958187 945.484908 6.473279 74.046423 67.573145
721 20 980.123994 915.854143 909.809143 6.045000 70.314850 64.269850
721 21 1057.817044 988.087236 981.160674 6.926563 76.656371 69.729808
721 27 922.564637 863.108668 856.295496 6.813173 66.269141 59.455968
721 10 965.463591 899.307853 890.501567 8.806286 74.962024 66.155738
721 26 1000.146234 934.195776 927.647026 6.548750 72.499209 65.950459
721 18 879.259431 827.217286 820.542598 6.674688 58.716832 52.042145
721 9 923.972495 861.433361 854.884611 6.548750 69.087885 62.539135
721 15 900.766390 846.143632 837.076132 9.067500 63.690258 54.622758
721 19 923.002777 860.551798 854.884611 5.667187 68.118166 62.450979
781 15 982.661155 925.900493 910.035403 15.865089 72.625752 56.760662
781 30 1073.971719 1027.807896 1016.481826 11.326071 57.489893 46.163822
781 29 961.318801 905.325919 891.836205 13.489714 69.482596 55.992882
781 11 1019.034356 957.010526 946.433800 10.576726 72.600555 62.023829
781 24 942.577247 903.324381 891.836205 11.488176 50.741042 39.252866
781 23 1080.551606 1014.742129 1001.031395 13.710734 79.520211 65.809477
781 16 1056.130983 1034.013980 1019.230594 14.783386 36.900389 22.117004
781 17 980.167592 921.934220 910.035403 11.898817 70.132189 58.233372
781 14 1071.780270 1015.407694 1001.031395 14.376299 70.748875 56.372576
781 10 1004.591435 980.041051 964.632999 15.408052 39.958437 24.550384
